text,page,big_category,small_category,detail,URL,file_1,file_2,file_3,file_4,file_5,file_6,file_7,file_8,file_9,file_10
"大分類：絵目次,小分類：外観の名称,以下の文章についての説明：外観の名称と画像,本文：1 トランク 70
2 ルームミラー 88
3 ドアミラー 89
4 アクティブトップ（電動開閉式ルーフ） 77
5 ドア 65
6 ボンネット 184
7 けん引フック 231
8 フォグランプ 118
9 ライト 115
   バルブ交換 199
10 フロントワイパー 119
11 シートベルト 33
12 シート 87
13 フューエルリッド 84
14 タイヤの交換 191
15 タイヤのローテーション 190
16 タイヤパンク応急修理セット 220","2,3,4",絵目次,外観の名称,外観の名称と画像,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=2,3,4",page2_1.png,page2_2.png,page3_1.png,page3_2.png,,,,,,
"大分類：絵目次,小分類：内装の名称以下の文章についての説明：内装の名称と画像,本文：1 助手席 SRS エアバッグ …… 42
2 ボンネットオープナー …… 184
3 チルトステアリング ……… 90
4 ワイパースイッチ ………… 118
5 警告灯・表示灯 …………… 92
6 運転席 SRS エアバッグ …… 42
7 ホーンスイッチ …………… 119
8 ライトスイッチ …………… 115
9 フォグランプスイッチ …… 118
10 方向指示スイッチ ………… 120
11 発炎筒 ……………………… 230
12 アクセサリーソケット …… 173
13 フューエルリッドオープナー … 85
14 アクティブトップ作動表示灯 … 82",5,絵目次,内装の名称,内装の名称と画像,https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=5,page5_1.png,page5_2.png,,,,,,,,
"大分類：絵目次,小分類：運転席周りの名称以下の文章についての説明：運転席周りの名称と画像1. 非常点滅灯スイッチ .................................................. 120
2. オートエアコン .......................................................... 162
3. リヤウインドデフォッガースイッチ ............................... 170
4. エンジンスイッチ ....................................................... 129
5. ステアリングスイッチ ................................................ 171
6. パドルシフト ............................................................ 136
7. トランクオープナースイッチ ...................................... 72
8. シフトレバー
   CVT車 .......................................................... 135
   マニュアル車 ................................................. 139
9. 駐車ブレーキ .......................................................... 134
10. パワーウインドスイッチ ......................................... 74
11. シートヒータースイッチ .......................................... 174
12. アクティブトップ開閉スイッチ ................................ 82
    アクティブトップ ................................................. 77
13. ドアミラースイッチ ................................................ 89
14. パワーウインドOFFスイッチ ................................... 76
15. eco IDLE OFFスイッチ ........................................... 157
16. VSC&TRC OFFスイッチ ........................................ 147","6,7",絵目次,運転席周りの名称,運転席周りの名称と画像,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=6,7",page6_1.png,,,,,,,,,
"大分類：ドライバー必読事項,小分類：走行前の注意事項以下の文章についての説明：お出かけの前に知っておいていただきたいこと、お守りいただきたいことをまとめています〇日常点検などをかかさず行ってください
安全で快適な運転をしていただくために、日常点検・定期点検整備を実施することが法律で義務付けられています。
点検・整備はメンテナンスノートにしたがって実施してください。
詳しくは別冊の「メンテナンスノート」をご覧ください。

〇各部を正しく調整してください
シート、ミラー類の位置を正しく調整してください。
（車体各部の調整→87ページ）

〇シートベルトは乗員全員が必ず着用してください
「シートベルトの正しい着用」をよくお読みいただき、正しく着用してください。（正しいシートベルトの着用→33ページ）

〇危険物は持ち込まないでください
車内や荷室内には、ガソリン、灯油、シンナーなどの引火物の入った容器やスプレー缶類を持ち込まないでください。蒸発ガスに引火したり容器が破損すると非常に危険です。

〇ペダル操作が確実に行える履き物を着用してください
安全な運転をしていただくために、ペダル操作が確実に行える履き物を着用してください。ペダル操作が確実に行えないと、思わぬ事故につながるおそれがあり危険です。

〇運転席足元に物を置かないでください
走行中に空缶などの動きやすい物を足元に置くと、ブレーキペダルの下に挟まり、ブレーキ操作ができなくなったり、アクセルペダルが戻らなくなるなどのおそれがあり危険です。

〇荷物を積み過ぎないでください
助手席や背もたれ後方に荷物を積み重ねないでください。視界をさまたげたり、ブレーキをかけたときや車両回しているときに荷物が飛び出して体にあたるなどして、思わぬけがや事故につながるおそれがあり危険です。
重い荷物を積み過ぎないでください。車両や走行に悪い影響をおよぼし、思わぬ事故につながるおそれがあり危険です。

〇フロアマットはこの車（年式）専用のダイハツ純正品を使用してください
運転席にフロアマットを使用するときは、以下の項目を必ず守って正しく装着してください。これらを守らないと、ブレーキペダルやアクセルペダルにフロアマットが引っかかり、思わぬ事故につながるおそれがあり危険です。
  - この車（年式）専用のダイハツ純正品を使用してください。
  - 付属の取付要領書に従って正しく装着してください。
  - 他のフロアマット類と重ねて使用しないでください。
  - ずれないようにフロアマット付属の専用クリップで必ず固定してください。
  - フロアマットを前後逆さまにしたり、裏返したりして使用しないでください。

クリップの破損などにより、フロアマットが固定できなくなったときは、すみやかにフロアマットの使用を中止してください。
運転する前に、下記のことを確認してください。
  - フロアマットがすべての固定クリップで正しい位置にしっかりと固定されていることを定期的に確認し、特に車検後は必ず確認を行ってください。
  - エンジンを停止状態にして、シフトレバーがマニュアル車はニュートラル、CVT車は[レ]レンジの位置で、各ペダルを奥まで踏み込み、フロアマットで干渉しないことを確認してください。

〇タイヤ空気圧の点検をしてください
「タイヤ空気圧の点検」をお読みいただき、定期的に点検を実施して指定空気圧に調整してください。
（タイヤ空気圧の点検→189ページ）

〇安全な燃料給油のために
燃料給油する場合に知っておいていただきたい、お守りいただきたいこと、特にセルフガソリンスタンドなどでお客様自身で燃料給油する場合に注意していただきたいことがあります。
「給油のしかた」をよくお読みいただき、安全に給油を行ってください。
（給油のしかた→84ページ）

〇SRSエアバッグについて
SRSエアバッグについて知っておいていただきたい、お守りいただきたいこと、ご注意いただきたいことがあります。
「SRSエアバッグ」をよくお読みください。
（SRSエアバッグ→42ページ）

〇CVT車について
CVT車の特性や操作上でご注意していただきたいことがあります。
「運転するときは」をよくお読みください。
（運転するときは→122ページ）","12,13,14",ドライバー必読事項,走行前の注意事項,お出かけの前に知っておいていただきたいこと、お守りいただきたいことをまとめています,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=12,13,14",page13_1.png,page13_2.png,,,,,,,,
"大分類：ドライバー必読事項,小分類：エンジンをかけるときの確認・注意事項以下の文章についての説明：エンジンをかけるときに知っておいていただきたいこと、お守りいただきたいことをまとめています。車両後方に可燃物がないことを確認してください
エンジン始動前に、車両後方や排気管の周りに可燃物（枯草・紙・木材など）がないか確認
してください。可燃物があると排気管や排気ガスが高温になり、火災になるおそれがあり危険です。

排気ガスにご注意ください
排気ガスには無色・無臭で有害な一酸化炭素が含まれているため、吸い込むと一酸化炭素中
毒になるおそれがあり危険です。
換気の悪い場所（車庫など、周囲が閉鎖された場所）でエンジンをかけたままにしないでください。
換気が不十分になり、一酸化炭素中毒事故を起こす危険があります。
排気管はときどき点検してください。排気管の異常（腐食による穴や亀裂など）または排気音の
異常などに気付いたときは、ダイハツサービス工場で点検を受けてください。そのまま走行すると
排気ガスが車内に侵入するおそれがあり危険です。
車内に排気ガスが侵入してきたと感じたらすぐに換気をし、車内に新鮮な空気を入れてください。
また、ただちにダイハツサービス工場で点検を受けてください

マニュアル車、CVT車で注意していただきたいこと
マニュアル車の場合
マニュアル車には、エンジン始動時の誤作動を防ぐためクラッチスタートシステムが装備されてい
ます。クラッチペダルをいっぱいまで踏み込まないとエンジンがかかりません。
駐車ブレーキをかけ、シフトレバーをニュートラルにし、クラッチペダルをいっぱいまで踏み込んでか
らエンジンを始動してください。
CVT 車の場合
駐車ブレーキをかけた状態でシフトレバーを必ず ?レンジにして、ブレーキペダルをしっかり踏みエ
ンジンを始動してください",15,ドライバー必読事項,エンジンをかけるときの確認・注意事項,エンジンをかけるときに知っておいていただきたいこと、お守りいただきたいことをまとめています。,https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=15,,,,,,,,,,
"大分類：ドライバー必読事項,小分類：走行時の注意事項以下の文章についての説明：走行しているときに知っておいていただきたいこと、お守りいただきたいことをまとめています■走行中はエンジンを止めないでください
走行中にエンジンを止めると、下記のような現象が起こるおそれがあります。
●ブレーキの倍力装置がはたらかなくなるため、ブレーキの効きが悪くなり、事故につながるおそれがあります。
●各警告灯が作動しなくなります。
●ハンドル操作が重くなります。
●触媒装置を損傷するおそれがあります。
万一、車が止まらなくなったときの非常時は、車両の緊急停止方法にしたがってください。
（車両を緊急停止するには → 247ページ）

■下り坂ではエンジンブレーキを併用してください
長い下り坂や急な下り坂でブレーキペダルを踏み続けると、ブレーキが過熱して、ブレーキの効きが悪くなり危険です。
路面状態やスピードに応じてシフトダウンしてエンジンブレーキを併用しましょう。

【マニュアル車】
●1速ずつ落とす

【CVT車】
●シフトレバーをSレンジに入れる、またはマニュアルモードにして1速ずつ落とす
その際には、急激なエンジンブレーキ（シフトレバー操作）を避けてください。タイヤをロックさせ、スリップする原因となり、事故につながるおそれがあります。
また、ぬれた路面や、積雪路、凍結路などのスリップしやすい路面では、十分速度を落としてエンジンブレーキを使用してください。

【エンジンブレーキ】
エンジンブレーキとは、走行中アクセルペダルから足を離したときにかかるブレーキのことです。低速ギヤになるほどよく効きます。

■雨、風の強い日は走行に注意してください
雨や風の強い日は、スピードを控え目にしましょう。特に橋や土手の上、トンネルの出口、山の切通しの部分など、横風の発生しやすい場所では、ハンドルをしっかり持ち、スピードを落として走行してください。

冠水した道路を走行しないでください
冠水した道路を走行すると、エンストするだけでなく、電装品のショート、エンジンの破損などの重
大な車両故障につながるおそれがあります。
万一、水中に浸かってしまったときは、必ずダイハツサービス工場で点検を受けてください。

水たまりを走行したあとはブレーキの効きを確認してください
深い水たまりを走行したあとや洗車をしたあとは、ブレーキパッドがしめり、効きが悪くなることがあ
ります。ブレーキペダルを軽く踏み、ブレーキの効き具合が正常かを確かめてください。
効き具合が悪いときは前後の車に十分注意し、ブレーキペダルを軽く踏みながら低速でしばらく走
行し、ブレーキのしめりを乾かしてください｡

スタッフ（立ち往生）などしたときにはタイヤを高速で回転させないでください
タイヤのバースト（破裂）、トランスミッションなどの損傷による思わぬ事故につながるおそれがあり
ます。
（スタック（立ち往生）したとき→ 228 ページ）

高速道路を走行するときに注意していただきたいこと
● 燃料、冷却水、エンジンオイルの量、タイヤの空気圧、摩耗状態などの点検は特に念入りに
行ってください。
● 高速での急ブレーキは特に危険です。十分な車間距離を取って走行してください。
● 法定速度を守って走行してください

ブレーキペダルに足をのせたまま走行しないでください
ブレーキ部品が早く摩耗したり、ブレーキが過熱し効きが悪くなるおそれがあります

クラッチペダルに足をのせたまま走行しないでください
マニュアル車
クラッチペダルに足をのせたまま走行したり、必要以上に長い時間、半クラッチ操作を行わないで
ください。クラッチが早く摩耗したり、過熱し思わぬ事故につながるおそれがあります。

ハンドルの中からの操作をしないでください
走行中にはハンドルの中に手を入れて、スイッチなどの操作をしないでください。ハンドル操作のさまたげになり、万一のときに大変危険です。

「急」の付く運転はしないでください
急激なハンドル操作、急発進、急加速、急ブレーキや急激なエンジンブレーキなど「急」の付く運転はさけてください。

後退するときは子供や障害物に気を付けてください
ルームミラー、ドアミラーなどでは確認しにくい死角があります。安全確認をしながらゆっくり後退してください。

窓から手や顔などを出さないでください
窓から身を乗り出したり、手や顔を絶対に出さないでください。思わぬけがをするおそれがあります。","16,17,18",ドライバー必読事項,走行時の注意事項,走行しているときに知っておいていただきたいこと、お守りいただきたいことをまとめています,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=16,17,18",,,,,,,,,,
"大分類：ドライバー必読事項,小分類：駐停車時の注意事項以下の文章についての説明：駐停車するときに知っておいていただきたいこと、お守りいただきたいことをまとめています。駐停車するときは

長時間駐車するときに注意していただきたいこと
エンジンを必ず止めて駐車してください。思わぬ事故につながるおそれがあります。
駐停車のときは駐車ブレーキをかけてください
駐停車するときは、必ず駐車ブレーキをかけ、シフトレバーをマニュアル車は 1 速（上り坂）また
は後退（下り坂）、CVT 車は Pレンジに入れます。坂道で駐車するときは、さらに輪止めを置
いて駐車すると安全です。
燃えやすい物のそばに車を止めないでください
排気管や排気ガスは高温になり、可燃物（枯草・紙・木材など）があると、火災になるおそれ
があり危険です。車の後方に可燃物があるときは、車両後端を30cm 以上離して止めてください。
隙間が少ないと排気ガスによって変色や変形したり、火災になるおそれがあり危険です。また、
可燃物（枯草・紙・木材など）の上で走行したり、車を止めたりしないでください。
車から離れるときに注意していただきたいこと
車から離れるときは、エンジンを止め、駐車ブレーキをかけ、必ずドアを施錠してください。
車が動き出したり、車両盗難、貴重品盗難のおそれがあります。
また、乳幼児のみを車内に残して車を離れないでください。炎天下での車内の温度は、想像以
上に高くなり危険です。
仮眠するときは必ずエンジンを止めてください
エンジンがかかった状態のままで仮眠すると、無意識にシフトレバーを動かしたり、アクセルペダル
を踏み込んだりして、車の不意な発進やエンジン過熱による火災など、思わぬ事故につながるお
それがあり危険です。
また、風通しの良くない所や、風向きによっては排気ガスが侵入し、一酸化炭素中毒事故を起
こすおそれがあります。

高速道路で停車するときに注意していただきたいこと
高速道路で、故障などのためやむを得ず停車するときは道路の端に寄せ、必ず停止表示板（停止表示灯）を置いてください。
万一のために停止表示板（停止表示灯）を車に常備しましょう。高速道路では停止表示板（停止表示灯）の設置は法律で義務付けられています。

ターボ車は走行後にアイドリングを行ってください
高速および登坂走行の直後にエンジンを止めるときは、停車後、1分程度アイドリング運転でエンジンを冷やしてからエンジンを止めてください。ただし、CVT車で、eco IDLEが作動してアイドリングストップしたときは、アイドリング運転は不要です。

高温になっている場所には触れないでください
荷物の積み降ろし時などに、手や足がマフラーに触れないようにしてください。エンジンがかかっているときやエンジン停止直後のマフラーは高温になっているため、やけどをするおそれがあります。
タイヤ交換時などに、ディスホイールやブレーキ回りに触れないようにしてください。走行後のディスホイールやブレーキ回りは高温になっているため、やけどをするおそれがあります。

車が雪でおおわれたときに注意していただきたいこと
雪が積もった場所や降雪時に駐車するときは、エンジンをかけたままにしないでください。エンジンをかけた状態で車の周りに雪が積もると、排気ガスが車内に侵入して一酸化炭素中毒事故を起こすおそれがあり危険です。","19,20",ドライバー必読事項,駐停車時の注意事項,駐停車するときに知っておいていただきたいこと、お守りいただきたいことをまとめています。,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=19,20",page20_1.png,,,,,,,,,
"大分類：ドライバー必読事項,小分類：お子様を乗せる際の注意事項以下の文章についての説明：お子様をのせるときに知っておいていただきたいこと、お守りいただきたいことをまとめています。お子様を載せるときは
車を離れるときはお子さまも一緒に離れてください
お子さまのいたずらによる車の発進、火災など思わぬ事故が起こるおそれがあり危険です。また、
炎天下での車内の温度は想像以上に高くなり、危険です。
必ずお子さまと一緒に車を離れてください。
ドアやルーフ、ウインドなどの開閉、シートの調整は大人が注意しながら操作してください
●ドアやルーフ、ウインドの開閉、シートの調整など、特にお子さまの手や足を挟まないよう注意
しましょう。また、お子さまが作動部に触れないように注意しましょう。
●ドアやルーフ、ウインドの開閉、シートの調整などは大人が操作してください。
● パワーウインドは、お子さまが自分で操作できないようにパワーウインド OFF スイッチを“OFF”
にしてください。
（パワーウインド OFF スイッチ→ 76 ページ）
お子さまを荷室に乗せたり、遊ばせないでください
荷室は、シートの状態にかかわらず人が乗る構造になっていないため、絶対にお子さまを乗せな
いでください。急ブレーキをかけたときや衝突したときなどに、体が飛ばされ、重大な傷害におよ
ぶか、最悪の場合死亡につながるおそれがあります。
また、停車中であってもお子さまを荷室で遊ばせないでください。
お子さまにもシートベルトを着用させてください
●お子さまをひざの上に抱いて走行しないでください。衝突したときなど十分に支えることができず、
重大な傷害を受けるおそれがあり危険です。
●お子さまを乗せるときは、シートベルトが首やあごに当たっておらず、腰骨に密着していることを
確認してください。
正しく装着されないと、衝突したときなどに首や腹部に強い圧迫を受け、重大な傷害を受ける
おそれがあり危険です。

シートベルトでお子さまを遊ばせないでください
お子さまをシートベルトで遊ばせないでください。万一シートベルトが首に巻き付いた場合、窒息などの重大な損害を受けるおそれがあります。誤ってそのような状態になってしまい、シートベルトのバックルが外せない場合は、はさみなどでシートベルトを切断してください。

助手席にチャイルドシートを取り付けないでください
助手席にベビーシートやチャイルドシートを取り付けないでください。SRSエアバッグが膨らんだときの衝撃で生命にかかわる重大な損害によおよぶか、最悪の場合死亡につながるおそれがあります。（SRSエアバッグ→42ページ）

お子さまが窓から手や顔を出さないように注意しましょう
走行中に限らず、お子さまが窓から手や顔を出さないように注意しましょう。思わぬけがをするおそれがあります。絶対に身を乗り出したり、シートの上に立たせたりしないでください。転落などして重大な損害をうけるおそれがあります。

","21,22",ドライバー必読事項,お子様を乗せる際の注意事項,お子様をのせるときに知っておいていただきたいこと、お守りいただきたいことをまとめています。,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=21,22",page22_1.png,,,,,,,,,
"大分類：ドライバー必読事項,小分類：トラブルが発生したとき以下の文章についての説明：トラブルが発生したときに一番初めに参照していただきたいことをまとめています。必読!ドライバーのみなさまへ こんなときは

こんなときは

■警告灯が点灯、点滅したとき
警告灯類が異常を知らせたとき、そのまま走行すると危険な場合があります。安全な場所に停車し、正しい処置を行ってください。
（警告灯→92ページ）

■オーバーヒートしたとき
水温警告灯が赤色に点滅・点灯して、警告ブザーが鳴ったときは、オーバーヒートが考えられます。そのときボンネットから蒸気が出ている場合は、絶対にボンネットを開けないでください。また、あわててラジエーターキャップを外さないでください。熱湯が吹き出し、やけどをするおそれがあります。
（オーバーヒートの処置→235ページ）

■エンストしたとき
落ち着いて操作してください。
ブレーキの倍力装置やパワーステアリング装置が作動しなくなり、ブレーキの効きが悪くなったり、ハンドルが重くなったりします。この場合、通常より強い力でハンドルやブレーキを操作してください。

■パンクしたとき
走行中にパンクやバースト（破裂）をしたときは、ハンドルをしっかり持って徐々にブレーキをかけてスピードを落してください。急ブレーキをかけるとハンドルを強く取られる危険です。
（タイヤパンク応急修理セット→220ページ）
（タイヤの交換→191ページ）

■床下に強い衝撃を感じたとき
車体の床下に強い衝撃を感じたときは、すぐに安全な場所に車を停車し、下回りを点検してください。
ブレーキ液や燃料の漏れ、損傷などが見つかった場合はそのまま運転すると思わぬ事故につながるおそれがあります。ダイハツサービス工場で点検を受けてください。


いつもと違うとき
地面に油や液の漏れたあとが残っているときや、異臭、異音、振動などに気付いたときは、車
に異常のおそれがあります。このようなときは、ダイハツサービス工場で点検を受けてください。
車両の火災につながるおそれがあるため、下記の点に注意をしてください
● 車内（特にインストルメントパネルの上など）に、ライターなどの発火物や炭酸飲料を置かない
でください。車内が高温になり火災や爆発につながるおそれがあり危険です。
●ライターを車内（グローブボックス内など）に放置したままにしないでください。荷物を押し込ん
だときや、シートを動かしたときに、ライターの操作部が誤作動し、火災になるおそれがあり危
険です。
●ウインドガラスには吸盤を付けたり、インストルメントパネルに芳香剤の容器などを置いたりしない
でください。吸盤や容器がレンズのはたらきをして、火災になるおそれがあり危険です。
●シルバー色などの金属蒸着フィルムを曲面ガラスに貼った場合は、ドアやウインドガラスを開け
たまま放置しないでください。ドアやウインドガラスを開けたまま放置すると、直射日光が曲面ガ
ラスの内側に反射し、レンズのはたらきをして、火災になるおそれがあり危険です。
●エンジン始動前にエンジンルームに可燃物の置き忘れがないことを確認してください。特に長
期間使用しなかったときは、エンジンルームに小動物や鳥類が持ち込んだ小枝などの可燃物が
ないことを確認してください。車両の火災につながるおそれがあり危険です。
また、走行中にエンジンルームからこげた臭いがするときは、ただちに安全な場所に停車し、ダ
イハツサービス工場にご連絡ください。
車内に水などをかけないでください
●インストルメントパネルやドア、フロア下などにあるスイッチや電気部品、配線類の故障の原因
となったり、車両火災につながるおそれがあり危険です。
万一、水、飲み物などがかかった場合は、可能な限り水分を取り除き、すみやかにダイハツサー
ビス工場にご相談ください。
こんな点にも注意をしてください
● 炎天下での駐車は高温になりますので、メガネなどを車内に放置したり、小物入れなどに入れ
たままにしないでください。炎天下では車内が高温になるため、レンズやフレーム、耐熱性の
低い物は、変形・ひび割れを起こすことがあります
インストルメントパネルの上に物を置いたまま走行しないでください。運転者の視界をさまたげた
り、発進時や走行時に動いて思わぬ事故につながるおそれがあります。
● 運転者はハンズフリー以外の携帯電話などを走行中に使用しないでください。思わぬ事故につ
ながるおそれがあります。
● 運転者は走行中、テレビを見たり、カーナビゲーションを操作しないでください。思わぬ事故に
つながるおそれがあります。
●タイヤは 4 輪とも指定サイズで、同一サイズ、同一メーカー、同一銘柄および同一トレッドパター
ン（溝模様）の物を装着してください。
●インストルメントパネルの上に物を置いたまま走行しないでください。運転者の視界をさまたげた
り、発進時や走行時に動いて思わぬ事故につながるおそれがあります。
● 運転者はハンズフリー以外の携帯電話などを走行中に使用しないでください。思わぬ事故につ
ながるおそれがあります。
● 運転者は走行中、テレビを見たり、カーナビゲーションを操作しないでください。思わぬ事故に
つながるおそれがあります。
●タイヤは 4 輪とも指定サイズで、同一サイズ、同一メーカー、同一銘柄および同一トレッドパター
ン（溝模様）の物を装着してください。

車止めなどに注意をしてください
下記のような場合には、バンパーや床下などを損傷するおそれがありますので、十分に注意してく
ださい。
● 車止めのある場所への駐車、路肩に沿っての駐車
● 路肩など段差のある場所への乗り降り
● 駐車場など急な坂道への出入り
● 凹凸やわだちのある道路の走行
●くぼみ（穴）のある場所の通過","23,24,25",ドライバー必読事項,トラブルが発生したとき,トラブルが発生したときに一番初めに参照していただきたいことをまとめています。,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=23,24,25",page25_1.png,,,,,,,,,
"大分類：ドライバー必読事項,小分類：車を長持ちさせるには以下の文章についての説明：車を長持ちさせるコツについて書いてあります点検整備を行いましょう
車は日頃の管理が大切です。安全、快適にご使用いただくため、必ず実施してください。
●日常点検
● 新車時点検
● 定期点検
● 定期交換部品の交換整備
これらの点検整備は法令で定められているものと、ダイハツが推奨するものに基づいています。
詳しくは別冊の「メンテナンスノート」をご覧ください。
海岸地帯、凍結防止剤を散布した道路を走行したあとは
海岸地帯や凍結防止剤を散布した道路などを走行したあとは、早めに洗車をしてください。特に
車体の下回り、足回りは念入りに洗車してください。洗車をせずに放置すると腐食の原因となり
ます。
腐食が進行すると、ブレーキや燃料、オイル、エアコンなどの配管類からの液漏れ、ガス漏れに
つながるおそれがありますので、早めの洗車とともに定期的な点検整備を実施してください。
エンジン冷却水温が低い間は、エンジンに負担のかかる運転をさけてください
●エンジン冷却水温が低い間は、急激な空ぶかし・急加速・高速走行をさけた運転でエンジンを
暖機させてください。暖機不足の状態で、急激な空ぶかし・急加速・高速走行をすると、エン
ジンに悪い影響をあたえたり、触媒装置の損傷の原因になるおそれがあります。
● 暖機は水温表示灯が消灯すれば十分です。
無鉛ガソリンのみ使用してください
必ず、無鉛レギュラーガソリン、または無鉛プレミアムガソリンを使用してください。
給油時に、指定されている燃料であることを確認してください。
指定以外の燃料（粗悪なガソリン、アルコール系燃料、軽油、灯油など）を使用すると、エン
ジンの始動性が悪くなったり、ノッキングや出力の低下などが発生する場合があります。また、そ
のまま使用していると、エンジンや燃料系部品を損傷するおそれがあります

車の改造や自己流の調整はしないでください
● 車の性能や機能に適さない部品を装着したり、自己流のエンジン調整や配線などを行わないで
ください。正常な性能を発揮できなかったり、故障や火災など思わぬ事故につながるおそれが
あります。
● 国土交通省に届け出をした部品以外の物を装着すると、違法改造になることがあります。
●ガラス面に、着色フィルムやステッカーなどを貼り付けないでください。運転のさまたげになり危
険です。特にフロントガラスおよびフロントドア左右のガラスへの貼り付けは法令で禁止されて
います。
●タイヤを交換するときは、指定以外の物を装着しないでください。また、ホイール、ホイール取
り付けナットを交換するときは、この車専用以外の物を装着しないでください。性能や機能に
支障をきたし、安全な走行ができなくなります。交換するときは、ダイハツサービス工場にご相
談ください。
● 無線機やダイハツ純正部品以外の電装品などを取り付けると、取り扱い方法が適切でない場
合、電子機器部品に悪影響をおよぼしたり、故障や火災など思わぬ事故につながるおそれが
あり危険です。ダイハツサービス工場にご相談ください。RF 送信機の取り付けは、28 ページ
「RF 送信機の取り付けについて」もご参照ください。
● バッテリー端子にダイハツ純正部品以外の電装品やアース線を直接つなげないでください。バッ
テリーあがりや火災など思わぬ事故につながるおそれがあり危険です。
●お客様自身でのハンドルの取り外しはしないでください。ハンドルには SRS エアバッグが内蔵さ
れているため、不適切に扱うと誤作動につながり、重大な傷害を受けるおそれがあり危険です。
純正部品を使いましょう
部品を交換する場合は「ダイハツ純正部品」のご使用をおすすめします。","26,27",ドライバー必読事項,車を長持ちさせるには,車を長持ちさせるコツについて書いてあります,"https://www.daihatsu.co.jp/service/torisetu/copen/pdf/copen_2302.pdf#page=26,27",,,,,,,,,,
